link_id	mass_base	mass_prev	mass_new	boost	tier_prev	tier_new	top_contributor_link_id
a8e838f2-ba3d-4fb0-af62-665fec8bcf96+3abdfa03-f873-4812-b7b9-c49962afa844+5d965d81-5804-4d15-8fe3-dadc46eb4efe+16553bf2-bb59-4894-aa63-b80a1714351e	6.589	6.589	11.532	4.942	link	link	b69643cf-0cce-494c-8041-bd4804448530+faac8167-3685-4d60-8894-aee15d2a1f1b
da52fa2a-ba7e-4289-a117-cb3c8fcdc564+a84962ad-9529-4465-b41d-fb487bb567f4+cca70865-5cff-4187-aa50-56ed93e76192	4.650	4.650	4.650	0.000	link	link	
400bdd3c-77cb-4f41-849c-92dfa4c24032+c23f6842-bcb5-4c38-9119-ef8494f6e5d7+5ea3845b-9e0c-4151-b3fc-5e01f99b8b2d+2a9b7233-64c2-4d35-9c74-efcabd60494d	13.556	13.556	38.199	24.643	link	link	7a8e4d6d-62bf-4e62-8362-fbe9ded5fbc2
bcbd6ab4-b034-4580-9903-77d39c560e29+29826d4e-37ee-4b03-8b89-7981b1a547ae+5e22240d-0e35-4388-ad0f-664db22f5ded+bfdf4854-fa49-4c9e-b4a5-964a1093e816	2.516	2.516	4.175	1.658	link	link	14dc04ff-9dfe-4411-91d2-fb38e6e04ab3
ac0c96bc-53f4-4fe5-ba71-196cfa3298e1+f5e4da7f-221b-40cc-b710-7103af011701+0f88535c-8ffa-419d-a064-bf455b3c10a6	6.164	6.164	13.054	6.890	link	link	e6ee28a6-b0e0-42f7-9aab-39026189a4e6
3d552445-b5e3-4cf5-8085-37210ceabfee+6eaafc35-86c6-439f-9520-7b4a245da7de+4027bd9e-2216-469d-bb61-d277920cd9cd+a465dcf6-f9b6-4d3b-adeb-0799959e793f	5.415	5.415	5.415	0.000	link	link	
edaf8d67-d0a2-44bf-bccf-978915a511b4+c966746f-cecc-460a-b7c4-27a9925dd7c4+9af4de25-386e-4de8-875d-fdc4ed2292b4+7d8932ab-bb21-40cd-99bb-58f3eb0b372f	4.430	4.430	4.430	0.000	link	link	
975ffcf7-35e9-44d4-86b5-9606ca311ee4+c3d5d58f-2812-4fd8-8bbe-6b054288b66b+8f33a2c1-be3a-43fb-9f26-f205234964d0+3c30db30-1f6a-4ac9-97fa-8f0a309e98b2	3.214	3.214	3.214	0.000	link	link	
5751c129-b26a-4fe1-9e0f-3105f53f079e+169be6c1-fbbf-402e-8e86-6b27e1b52102+7a959c95-9aac-4692-be8b-f61b781b1e38	1.583	1.583	1.583	0.000	link	link	
9392d3b2-1dc9-4a6c-b90f-0d0ad44277ef+d1e4effe-518d-4154-a29f-b763bb4b3e86+6efb3d03-583b-41b0-9758-30d35436408a	5.205	5.205	11.353	6.147	link	link	ff491b3c-084f-421c-8e2f-49208a633b0a+d9e864a3-ecf6-4438-b2d7-3291146cd19b
a6ec95c2-1c31-444d-be5a-3a7c6919b590+f11dda63-656d-4e71-99cb-c74c93e337b6+6a90cded-b2a5-48ac-980b-7e99e8d2093e	2.528	2.528	2.528	0.000	link	link	
561be1e9-150c-46db-b28b-568c5a463d65+b741aaa0-7f69-44be-a50e-801ececef9ec+d27bfdfb-29ef-4a7a-b5ce-70853b7ac2c6	13.650	13.650	24.139	10.489	link	link	a2583c9b-e055-443f-9222-19f9fc85b011
ff03fb47-7b7e-4f22-98b9-cb065aae0717+a3c5afb5-1805-4c50-9d26-7fec7046d4f8+cf7d3705-d177-493c-8ebb-ba3510bc6e8d+18b83170-3fbb-4c4a-bc13-8aaed6f4583c	4.107	4.107	4.107	0.000	link	link	
d4026618-d785-4797-ba4b-f5348b35a9ac+81a0ba3d-6a0c-44d4-b733-fa4baf7499bc+33d26595-933d-4fea-8783-66e9f787a6f8+808d34d4-3c48-4347-a1f5-886c8d8c0101	14.784	14.784	37.490	22.706	link	link	2fa402e6-936e-46d7-8d21-eb117a77c395
629985c0-a2a0-47c4-9c70-f27d246e2aca+d65b533c-c642-492a-a3dc-126cc9df2241+c6124ba7-a17f-42c0-8154-986b980c93a3	4.453	4.453	8.948	4.495	link	link	db75e17f-8e71-45f3-91cb-9fa95513fee8+fbab2af1-9abf-4d96-9e2d-638a3449585b
4c51bc38-f31d-419c-8ac8-16e90002b472+11cd8d35-9d20-496d-937e-6e48e1f04829+ca5725ed-069d-4441-bd92-ba391029c106	5.627	5.627	9.949	4.322	link	link	1662ebf6-5901-491a-b17d-9a1267f81884
09b1d91e-aa02-4323-872f-9b335b4ba33b+4e5d4cc3-f67f-4ec1-bdf9-93d534172246+fb708ea6-0b4b-4173-886f-ec803ed780ad	1.054	1.054	1.054	0.000	link	link	
0172614a-7976-4e89-acb5-e3ae419e3df4+3046803e-bc6a-48ef-8a9f-220b2d77cd33+1a512002-f84b-408f-a61b-5727882beb23	4.005	4.005	6.201	2.196	link	link	1614259e-c197-4542-b694-0c4ad173693b
fb288f03-d57d-4971-9c22-20d0574ecc34+45b99f2c-d2a3-4417-b085-57694c7a9921+b62ee46a-ef7f-44ad-99c0-6d9b75462a4b	2.729	2.729	2.729	0.000	link	link	
29fd9e06-d6c7-47d4-9171-6d272f4eb682+fae7e380-065f-4665-a980-07f7da2396eb+a5a2c5e4-eff9-4830-8a27-c030ca79a41a+5a8de067-ae95-4b87-8f2e-a608371bf51c	4.920	4.920	8.970	4.050	link	link	d850c055-7aa2-4652-ad66-7e01abd0282f
28aad481-4917-4009-a0f9-0bb576288c90+70af8928-b1c2-4ae0-8d92-86c66e8ade43+2aa3091a-c56b-46cc-be95-34bb955758d3	8.423	8.423	18.942	10.519	link	link	f7f71261-f682-49fc-835a-7ab51bc31df3
f9f77e33-ebe2-44db-940e-4f016f739074+80b4e1a0-94b1-499d-9c85-4c532a2f4501+4c29410c-8525-48f9-9a0c-bb4fe0748ee7	3.678	3.678	6.070	2.392	link	link	9997e5c8-75f5-4208-946e-2c74d1eb281e+1e41597e-500f-4990-9d64-adca4df366b1
9655f95d-bb6c-4dbc-9776-09954271b626+39a7e237-5364-4dc7-b205-b4389701cf8f+ce7bd9a9-90db-4bda-a34b-a2830c2a0c71	1.470	1.470	1.470	0.000	link	link	
4624152e-6eea-45ac-bf4d-b98a9c855532+de607b08-77ac-47df-a859-4d6839e97407+27575df1-a8f3-48dd-ad82-60c8da4f9500+d1b34a08-a532-401c-a066-ead591721a81	1.243	1.243	1.243	0.000	link	link	
e7e38e52-d07c-4ede-9ce5-a963b7a351d2+692e15e6-2b15-4855-be62-8d1d75608c72+317a4fa5-7d6b-42e3-8f27-dcb9bc07aa28+bf0d6f03-427a-4304-9829-1caba7d578c3	1.532	1.532	1.532	0.000	link	link	
0e983ee6-3909-45f8-8b10-7fdc924e4825+f6e47be1-d1b5-4321-9b0e-c3632cd437aa+e610682b-febf-444d-88cd-ba449fe08249+9925fd6a-dd07-44ae-bab1-97c8286f83f4	1.519	1.519	1.519	0.000	link	link	
143352ed-1879-467e-9cd7-9c85ff0fecc1+df017af7-8ff6-4f13-9c53-7a9a1086ca22+5018c710-5824-415e-9069-598162ca53cd	4.678	4.678	4.678	0.000	link	link	
ab38281a-99d5-4ae6-8613-1902525ddaae+bb54278b-fe8c-4a98-8386-a5c737ed0c00+f90e215d-ac59-4a71-93d1-7b719df620fc+8b4d33b7-e536-48bc-9414-588ebf8adf0f	2.549	2.549	2.549	0.000	link	link	
a890e769-e2f5-46e7-9fcd-4e247f4dc86c+3eb6e251-5c6c-4bcd-9d84-30981496ca1b+1081fa05-e39b-4242-a22e-285b875f128c	1.706	1.706	1.706	0.000	link	link	
810cfd5e-86e0-4c3d-8910-101e5c41eb7c+ecc7e222-c10e-466e-a0b0-bf7c906786f6+16b5478c-a9c8-489e-b36e-74839d2ffe4b	0.787	0.787	0.787	0.000	link	link	
bfee0b3f-f6d8-4f0b-a2b6-9790114249ab+a38a05fb-1f5c-4335-a178-4add07670274+87fcb001-1c0c-462c-9332-e866d113b041	2.475	2.475	4.243	1.769	link	link	b0a8ea10-14ad-43a2-a3f7-cea38c74740e
7e7fddcf-ed07-4ab5-9e0c-b5c6c5a1e43b+ad413036-7819-48ac-9d8f-4a29933b381c+a6ff3532-8b02-4026-98d0-48260462a69d	3.043	3.043	7.024	3.982	link	link	d9c7f754-f601-4965-a1d2-3cbee05bd461
9d98abe7-28a0-409c-ac90-bf328c85a5d4+392ec4e4-4772-4917-9f97-8cc7712947cd+9417c4e4-6175-47fd-a671-4febe2880c13	2.218	2.218	5.553	3.335	link	link	0d1cf4a4-5d9a-4d6a-8f70-585d42cd9936
78789b53-4982-44e8-b53c-067923c1d101+56640e8a-0f33-4d22-b2fa-43610074360a+19ea1043-07ba-4944-a647-68572ad533f0	1.693	1.693	3.004	1.312	link	link	02f19fc5-e16f-4686-b08a-9b56c5525d26
4b626907-e4b9-44e0-8124-835f1ea9024c+e43f9fd0-fc68-418b-834a-85bdcf9e2b34+6849506c-866d-450c-b271-c830b0793c5c	1.607	1.607	1.607	0.000	link	link	
c4bed78f-1ed0-48c9-a3a3-e5842de9e740+f3059f31-259b-498e-b86d-f8ef10734d40	2.149	2.149	3.677	1.528	link	link	0ed74c20-a5eb-45bc-b3dc-d2365666d9ca
9997e5c8-75f5-4208-946e-2c74d1eb281e+1e41597e-500f-4990-9d64-adca4df366b1	5.726	5.726	7.263	1.537	link	link	f9f77e33-ebe2-44db-940e-4f016f739074+80b4e1a0-94b1-499d-9c85-4c532a2f4501+4c29410c-8525-48f9-9a0c-bb4fe0748ee7
97cd543b-5739-40a5-9ae0-923287957b10+6bf0b560-ed82-4c44-b8ce-14300bcfe835	1.840	1.840	3.125	1.285	link	link	39f95dbf-f3eb-459b-b975-bfc122149628+a8361df1-5565-4c5e-8237-7b513c56a7d2+728b49ba-def7-47b8-b21d-efa5b6fb603c
b1283a15-edc7-4619-bc8d-d1aa6f251d27+59935f68-9bf0-4885-aba6-cfa6c618df03	0.938	0.938	0.938	0.000	link	link	
b69643cf-0cce-494c-8041-bd4804448530+faac8167-3685-4d60-8894-aee15d2a1f1b	6.972	6.972	11.643	4.671	link	link	a8e838f2-ba3d-4fb0-af62-665fec8bcf96+3abdfa03-f873-4812-b7b9-c49962afa844+5d965d81-5804-4d15-8fe3-dadc46eb4efe+16553bf2-bb59-4894-aa63-b80a1714351e
44e2d7cb-e893-4978-a12a-312372ed3a2c+44e22347-272c-43f2-9f70-ed8ad718a9db	1.418	1.418	1.418	0.000	link	link	
ff491b3c-084f-421c-8e2f-49208a633b0a+d9e864a3-ecf6-4438-b2d7-3291146cd19b	4.756	4.756	12.083	7.327	link	link	9392d3b2-1dc9-4a6c-b90f-0d0ad44277ef+d1e4effe-518d-4154-a29f-b763bb4b3e86+6efb3d03-583b-41b0-9758-30d35436408a
0c1790c5-b420-4a31-8c9e-10b4688600e0+d440e19e-3902-429f-a1b9-c23c8a43ce87	1.483	1.483	1.483	0.000	link	link	
4eea71d1-20f3-46af-8d16-3e242ce9ad14+f55b33d7-d96a-41fb-ba84-56af1e27e71b	2.520	2.520	3.998	1.478	link	link	f6af0064-6af4-4531-af1f-4dd901dfe895
b317171a-d940-4f08-b27c-ffe176461996+a8d073f6-cb82-4569-a6ea-be5c14642bf2	4.922	4.922	12.247	7.325	link	link	e6ee28a6-b0e0-42f7-9aab-39026189a4e6
d454a047-7f96-4e46-b9fa-ab6a7bd3ad24+a93be689-6b6a-4e7d-95d6-49cf36f091e7	2.682	2.682	4.806	2.123	link	link	e5aefce5-a787-4390-822f-e73b391811f0
b3ec63f0-4fe4-4b40-a1ee-3fbda184a07c+0b3f7ee5-9a0a-46b2-87d5-142c9d9280bf	12.115	12.115	39.292	27.177	link	link	7a8e4d6d-62bf-4e62-8362-fbe9ded5fbc2
342aad81-bb41-4643-9859-e8c221826d32+96e9866d-d6a9-4aed-b025-18c33eeb98bd	19.163	19.163	49.029	29.866	link	link	2fa402e6-936e-46d7-8d21-eb117a77c395
cc56334a-4455-4a29-bb82-2892d996cd5a+983dd73f-8341-430b-bf2c-655b4670c871	1.088	1.088	1.088	0.000	link	link	
27d339b5-7480-482c-a472-8b52d5c4d78a+668fc0dc-2f79-4369-a455-3454e03d6c2b	3.019	3.019	5.198	2.179	link	link	0f4474f2-a50b-4bd7-aa4c-b9abbfcf25c7+5db0ae7d-ea23-4db8-816f-b9b2cab10353
33fbaf4e-f951-4a2f-a415-f96638ea8933+2c9156dd-10ba-43a4-9ff4-b70c408ff451	0.535	0.535	0.535	0.000	link	link	
9e8abec1-c201-40ef-8462-39b59d59f2d0+4e2b6a38-f38b-4ff4-9623-52963fdf8a0c	1.778	1.778	1.778	0.000	link	link	
17dcd45c-be78-4194-bfe3-de8d4251350d+69a39a55-f465-46fe-8f63-6e8f797315f5	12.353	12.353	19.564	7.211	link	link	9511bbc6-c62e-4a72-bb17-93226565e37c+71c967d2-b3c3-4bed-9dad-2ce78db74e81+50c01b24-070c-4398-be08-dd799ac54102+7ea93f3d-d20a-48bc-806f-e24055e0e0e5
05324450-047f-4664-bf56-42ba95606669+172433a5-2a26-4911-89dc-e073b63a7336	1.813	1.813	1.813	0.000	link	link	
a410e71c-c792-44ed-9c56-5e2ccfc55de2+1a756abd-317c-42eb-af6b-28ff17a610a3	6.201	6.201	6.201	0.000	link	link	
a97dacd1-1474-4e18-9a6d-0dbe74818ef2+9cf30066-f9a0-4abe-b138-bee0e74aa87f	1.563	1.563	1.563	0.000	link	link	
2221c3fc-69e4-4261-a804-96df8969d993+ca30e772-7096-40eb-98d4-68051c0ec949	1.281	1.281	1.281	0.000	link	link	
db75e17f-8e71-45f3-91cb-9fa95513fee8+fbab2af1-9abf-4d96-9e2d-638a3449585b	7.223	7.223	14.482	7.259	link	link	069e0fa3-2d68-45a5-a577-83b06df27082
0f2f8062-4fa9-4f83-bb9d-94b0bca4172e+eebbf5b8-87f1-44e6-9257-83b7e85a6d76	1.777	1.777	2.974	1.197	link	link	74fe86e5-eee8-4bcd-a2a6-bab074f7bc90
458a9fc2-c544-46e3-bcc4-955548a73de1+3783fe38-8a9b-4d1a-aa91-fba635005d04	0.944	0.944	0.944	0.000	link	link	
53a19fab-3153-455b-b473-a23d83831401+046f0c43-26c3-447e-a8ba-65200700370f	1.293	1.293	1.293	0.000	link	link	
0f4474f2-a50b-4bd7-aa4c-b9abbfcf25c7+5db0ae7d-ea23-4db8-816f-b9b2cab10353	3.039	3.039	5.204	2.165	link	link	27d339b5-7480-482c-a472-8b52d5c4d78a+668fc0dc-2f79-4369-a455-3454e03d6c2b
127a04fa-253a-4ddf-84d4-f1faa20206b2+f2329d2b-488e-463a-848e-f1206289b5d8	3.423	3.423	3.423	0.000	link	link	
7c6a54b0-7d6d-4f91-a161-c367b0f16e44	1.600	1.600	1.600	0.000	link	link	
4d9f08a7-ba5a-42a3-a315-d64fa75b0592	5.013	5.013	11.304	6.290	link	link	d7052d4e-4f81-4f6c-b8b1-2a02e6533196
0843a2c0-7a29-4963-aca1-7ad8615dee8d	0.900	0.900	0.900	0.000	link	link	
0ed74c20-a5eb-45bc-b3dc-d2365666d9ca	3.333	3.333	6.208	2.874	link	link	554aba7c-6e38-4652-ba21-7fc873169eb1
bd241144-4f27-448b-8972-d50b6e4c2e18	2.598	2.598	3.984	1.386	link	link	1feb00fb-8501-4970-96ac-ca2ad7f9777c
0d1cf4a4-5d9a-4d6a-8f70-585d42cd9936	8.338	8.338	15.550	7.212	link	link	9d237644-f20e-49ec-8bda-7030dacec0c2
7a8e4d6d-62bf-4e62-8362-fbe9ded5fbc2	13.504	13.504	39.316	25.811	link	link	400bdd3c-77cb-4f41-849c-92dfa4c24032+c23f6842-bcb5-4c38-9119-ef8494f6e5d7+5ea3845b-9e0c-4151-b3fc-5e01f99b8b2d+2a9b7233-64c2-4d35-9c74-efcabd60494d
667d5602-0bff-41fb-aace-67e1e24b9dd9	4.366	4.366	8.448	4.082	link	link	25e72890-5f44-4bd2-9bd1-eb4812d93102
b0a8ea10-14ad-43a2-a3f7-cea38c74740e	2.404	2.404	4.225	1.820	link	link	bfee0b3f-f6d8-4f0b-a2b6-9790114249ab+a38a05fb-1f5c-4335-a178-4add07670274+87fcb001-1c0c-462c-9332-e866d113b041
554aba7c-6e38-4652-ba21-7fc873169eb1	3.616	3.616	7.929	4.314	link	link	b317171a-d940-4f08-b27c-ffe176461996+a8d073f6-cb82-4569-a6ea-be5c14642bf2
7c62d59c-8bd1-41a9-b9c5-33107267b9b3	0.650	0.650	0.650	0.000	link	link	
8624301c-dcfd-4f37-b22b-0f4c4769f683	0.450	0.450	0.450	0.000	link	link	
74fe86e5-eee8-4bcd-a2a6-bab074f7bc90	1.822	1.822	2.990	1.167	link	link	0f2f8062-4fa9-4f83-bb9d-94b0bca4172e+eebbf5b8-87f1-44e6-9257-83b7e85a6d76
b9a13d08-abed-4b2d-b149-c0d9ba30393a	0.450	0.450	0.450	0.000	link	link	
9d237644-f20e-49ec-8bda-7030dacec0c2	7.988	7.988	14.590	6.602	link	link	0d1cf4a4-5d9a-4d6a-8f70-585d42cd9936
d850c055-7aa2-4652-ad66-7e01abd0282f	5.302	5.302	9.060	3.758	link	link	29fd9e06-d6c7-47d4-9171-6d272f4eb682+fae7e380-065f-4665-a980-07f7da2396eb+a5a2c5e4-eff9-4830-8a27-c030ca79a41a+5a8de067-ae95-4b87-8f2e-a608371bf51c
b17aa229-5a02-441a-8858-e7fdd690179a	0.941	0.941	0.941	0.000	link	link	
5e256101-9555-4575-9f64-15de02133c89	0.569	0.569	0.569	0.000	link	link	
271e453f-9948-48b0-94cf-fdf28eede70b	10.826	10.826	35.196	24.370	link	link	b3ec63f0-4fe4-4b40-a1ee-3fbda184a07c+0b3f7ee5-9a0a-46b2-87d5-142c9d9280bf
620ceb9a-61fb-4d33-a6f7-43f19becec6a	0.484	0.484	0.484	0.000	link	link	
35d0d8bb-db75-4246-832f-fca184180355	2.885	2.885	6.603	3.718	link	link	d9c7f754-f601-4965-a1d2-3cbee05bd461
d9c7f754-f601-4965-a1d2-3cbee05bd461	3.240	3.240	7.459	4.219	link	link	7e7fddcf-ed07-4ab5-9e0c-b5c6c5a1e43b+ad413036-7819-48ac-9d8f-4a29933b381c+a6ff3532-8b02-4026-98d0-48260462a69d
14dc04ff-9dfe-4411-91d2-fb38e6e04ab3	4.090	4.090	5.110	1.020	link	link	bcbd6ab4-b034-4580-9903-77d39c560e29+29826d4e-37ee-4b03-8b89-7981b1a547ae+5e22240d-0e35-4388-ad0f-664db22f5ded+bfdf4854-fa49-4c9e-b4a5-964a1093e816
9a62878d-15be-40a9-a597-9164abf65db2	6.454	6.454	16.414	9.960	link	link	28aad481-4917-4009-a0f9-0bb576288c90+70af8928-b1c2-4ae0-8d92-86c66e8ade43+2aa3091a-c56b-46cc-be95-34bb955758d3
f7f71261-f682-49fc-835a-7ab51bc31df3	8.301	8.301	18.848	10.547	link	link	28aad481-4917-4009-a0f9-0bb576288c90+70af8928-b1c2-4ae0-8d92-86c66e8ade43+2aa3091a-c56b-46cc-be95-34bb955758d3
1feb00fb-8501-4970-96ac-ca2ad7f9777c	2.653	2.653	4.010	1.357	link	link	bd241144-4f27-448b-8972-d50b6e4c2e18
4baf50c5-5e37-4705-a18f-715351f39248	0.980	0.980	0.980	0.000	link	link	
0982b40a-bdb5-4c8c-97bb-a03034cb93f4	0.483	0.483	0.483	0.000	link	link	
e5aefce5-a787-4390-822f-e73b391811f0	2.682	2.682	4.806	2.124	link	link	d454a047-7f96-4e46-b9fa-ab6a7bd3ad24+a93be689-6b6a-4e7d-95d6-49cf36f091e7
38eae05e-046f-42b4-9936-d7e94d008964	1.479	1.479	1.479	0.000	link	link	
837e10f6-7136-4bfb-8df9-37d4697ce9ef	1.977	1.977	1.977	0.000	link	link	
4a2943c2-e26f-4e80-8fd5-f2b92bf98827	0.478	0.478	0.478	0.000	link	link	
f3676488-3272-4ede-ae3a-52c8f60c6024	1.431	1.431	1.431	0.000	link	link	
07684b0b-a1bd-4006-8ad4-7fb05a7ccfd7	1.414	1.414	2.431	1.017	link	link	8d8c4f30-c9e6-4c39-ab5f-07c7b70998fb
8d8c4f30-c9e6-4c39-ab5f-07c7b70998fb	1.418	1.418	2.432	1.014	link	link	07684b0b-a1bd-4006-8ad4-7fb05a7ccfd7
2e60a917-6e86-4bbf-8c3c-d1d21f0ef996	1.811	1.811	3.244	1.434	link	link	b04e4a6f-cf52-48d6-8e42-7bd38f7afe1c
b04e4a6f-cf52-48d6-8e42-7bd38f7afe1c	1.811	1.811	3.244	1.434	link	link	2e60a917-6e86-4bbf-8c3c-d1d21f0ef996
286ab627-b406-4a44-b3b8-a9706f047828	4.294	4.294	13.209	8.915	link	link	3736c7b2-3055-42cf-8eaa-09554311ba65+42826b9f-abfa-479c-b6a7-f89792892c56+b0175a00-c65b-4365-8256-f3e6fecfbf7b+7026143c-2ae1-4ed3-98b7-9cb859da4e77
2c4d26f2-f2db-463e-b959-d09d75170dd2	8.545	8.545	14.867	6.322	link	link	3736c7b2-3055-42cf-8eaa-09554311ba65+42826b9f-abfa-479c-b6a7-f89792892c56+b0175a00-c65b-4365-8256-f3e6fecfbf7b+7026143c-2ae1-4ed3-98b7-9cb859da4e77
2fa402e6-936e-46d7-8d21-eb117a77c395	19.083	19.083	48.884	29.801	link	link	342aad81-bb41-4643-9859-e8c221826d32+96e9866d-d6a9-4aed-b025-18c33eeb98bd
fb6def1e-867f-4813-aeda-5911ac058efd	16.061	16.061	41.935	25.874	link	link	342aad81-bb41-4643-9859-e8c221826d32+96e9866d-d6a9-4aed-b025-18c33eeb98bd
d7052d4e-4f81-4f6c-b8b1-2a02e6533196	9.574	9.574	22.346	12.772	link	link	fb6def1e-867f-4813-aeda-5911ac058efd
045740bf-4e4a-4810-8d3c-3df32a3533b9	0.512	0.512	0.512	0.000	link	link	
1cb0caa0-9753-4eae-a67e-8853bfe1d1b9	0.794	0.794	0.794	0.000	link	link	
4cbc504f-6893-4b11-908f-52343e35a11d	0.989	0.989	0.989	0.000	link	link	
4881bf5f-fc28-4074-b84a-765edf52d4ad	2.783	2.783	2.783	0.000	link	link	
25e72890-5f44-4bd2-9bd1-eb4812d93102	4.367	4.367	8.448	4.081	link	link	667d5602-0bff-41fb-aace-67e1e24b9dd9
1614259e-c197-4542-b694-0c4ad173693b	4.203	4.203	6.296	2.093	link	link	0172614a-7976-4e89-acb5-e3ae419e3df4+3046803e-bc6a-48ef-8a9f-220b2d77cd33+1a512002-f84b-408f-a61b-5727882beb23
f6af0064-6af4-4531-af1f-4dd901dfe895	2.504	2.504	3.991	1.487	link	link	4eea71d1-20f3-46af-8d16-3e242ce9ad14+f55b33d7-d96a-41fb-ba84-56af1e27e71b
a2583c9b-e055-443f-9222-19f9fc85b011	13.247	13.247	24.055	10.809	link	link	561be1e9-150c-46db-b28b-568c5a463d65+b741aaa0-7f69-44be-a50e-801ececef9ec+d27bfdfb-29ef-4a7a-b5ce-70853b7ac2c6
d4e0f15c-58a4-4f84-bb77-a462eb40cc95	0.490	0.490	0.490	0.000	link	link	
0184d01a-0f0e-4d16-a2d1-8d51c860a9f2	1.741	1.741	3.134	1.393	link	link	dfd9d234-d962-4a83-a01b-5ca895ea4297
dfd9d234-d962-4a83-a01b-5ca895ea4297	1.741	1.741	3.134	1.393	link	link	0184d01a-0f0e-4d16-a2d1-8d51c860a9f2
069e0fa3-2d68-45a5-a577-83b06df27082	6.830	6.830	13.407	6.577	link	link	db75e17f-8e71-45f3-91cb-9fa95513fee8+fbab2af1-9abf-4d96-9e2d-638a3449585b
d8d6eb66-6a05-40ce-8a91-216ca4786e61	3.995	3.995	8.993	4.998	link	link	069e0fa3-2d68-45a5-a577-83b06df27082
9526aede-4666-4dcb-b5bf-cc8d0b4f6aeb	2.604	2.604	5.469	2.865	link	link	d8d6eb66-6a05-40ce-8a91-216ca4786e61
1662ebf6-5901-491a-b17d-9a1267f81884	7.323	7.323	10.644	3.321	link	link	4c51bc38-f31d-419c-8ac8-16e90002b472+11cd8d35-9d20-496d-937e-6e48e1f04829+ca5725ed-069d-4441-bd92-ba391029c106
dc6d1d3f-9a9d-464d-a7ea-b2ee45a8fcb8	3.494	3.494	3.494	0.000	link	link	
02f19fc5-e16f-4686-b08a-9b56c5525d26	2.831	2.831	3.615	0.784	link	link	78789b53-4982-44e8-b53c-067923c1d101+56640e8a-0f33-4d22-b2fa-43610074360a+19ea1043-07ba-4944-a647-68572ad533f0
3fa21c0d-91d9-477b-a6a9-b6f9b0ef1ba5	0.460	0.460	0.460	0.000	link	link	
4a842049-b5e1-4379-90e4-0ab8f20aec40	4.567	4.567	11.475	6.908	link	link	ff491b3c-084f-421c-8e2f-49208a633b0a+d9e864a3-ecf6-4438-b2d7-3291146cd19b
2a6b89a7-3de3-4f2a-9a7e-93cfd2183426	0.839	0.839	0.839	0.000	link	link	
6c2e6c9e-01a0-44a6-9762-758b91b2ff7f	0.450	0.450	0.450	0.000	link	link	
